times,Biology,2
lastly,Biology,2
average,Biology,3
determined,Biology,2
adding,Biology,2
values,Biology,2
that,Biology,2
dividing,Biology,2
result,Biology,1
there,Biology,2
are,Biology,1
many,Biology,1
other,Biology,3
factors,Biology,1
studied,Biology,1
may,Biology,1
have,Biology,1
affected,Biology,1
were,Biology,3
parameters,Biology,2
chest,Biology,2
circumference,Biology,2
height,Biology,2
resting,Biology,4
pulse,Biology,6
rate,Biology,5
centimeters,Biology,2
tape,Biology,1
measure,Biology,1
meter,Biology,1
stick,Biology,1
after,Biology,1
sat,Biology,1
rested,Biology,1
10,Biology,1
minutes,Biology,1
palpated,Biology,1
own,Biology,1
placing,Biology,1
index,Biology,1
middle,Biology,1
fingers,Biology,1
one,Biology,1
hand,Biology,1
radial,Biology,1
artery,Biology,1
arm,Biology,1
counted,Biology,1
number,Biology,1
beats,Biology,1
15,Biology,1
second,Biology,1
time,Biology,2
interval,Biology,2
mychron,Biology,1
stopwatch,Biology,1
15second,Biology,1
separate,Biology,1
multiplied,Biology,1
four,Biology,1
determine,Biology,1
subjects,Biology,1
oneminute,Biology,1
additionally,Biology,1
also,Biology,1
hisher,Biology,1
age,Biology,1
sex,Biology,1
whether,Biology,2
they,Biology,2
smoker,Biology,1
nonsmoker,Biology,1
an,Biology,1
athlete,Biology,1
nonathlete,Biology,1
finally,Biology,1
statistical,Biology,1
analysis,Biology,2
used,Biology,1
analyze,Biology,1
data,Biology,1
any,Biology,1
relationshipcorrelation,Biology,1
between,Biology,1
regression,Biology,1
spirometry,Biology,9
study,Biology,20
universitys,Biology,3
principles,Biology,14
of,Biology,50
biology,Biology,15
students,Biology,19
vital,Biology,6
capacity,Biology,10
compared,Biology,1
to,Biology,65
height,Biology,28
chest,Biology,28
circumference,Biology,23
resting,Biology,11
heart,Biology,15
beats,Biology,12
and,Biology,86
other,Biology,11
parameters,Biology,10
laboratory,Biology,2
section,Biology,1
l55,Biology,2
department,Biology,1
university,Biology,2
anytown,Biology,1
nj,Biology,1
12345,Biology,1
usa,Biology,1
november,Biology,1
29,Biology,10
2017,Biology,9
abstract,Biology,1
the,Biology,77
objective,Biology,2
this,Biology,29
scientific,Biology,1
was,Biology,47
find,Biology,3
correlations,Biology,1
if,Biology,6
any,Biology,2
between,Biology,20
vc,Biology,73
in,Biology,39
liters,Biology,2
land,Biology,1
cm,Biology,36
per,Biology,15
minute,Biology,15
96,Biology,15
at,Biology,9
individually,Biology,1
conducted,Biology,2
three,Biology,3
trials,Biology,2
standing,Biology,42
sitting,Biology,15
respectively,Biology,9
also,Biology,13
collected,Biology,2
their,Biology,20
as,Biology,11
well,Biology,1
age,Biology,16
genders,Biology,2
whether,Biology,2
or,Biology,4
not,Biology,17
they,Biology,3
were,Biology,16
smokers,Biology,7
athletes,Biology,9
it,Biology,9
found,Biology,19
that,Biology,37
had,Biology,8
a,Biology,47
positive,Biology,7
correlation,Biology,20
r,Biology,6
,Biology,39
715,Biology,3
n,Biology,169
p,Biology,10
5,Biology,9
has,Biology,2
no,Biology,12
124,Biology,3
449,Biology,3
conclusion,Biology,2
while,Biology,6
correlated,Biology,5
with,Biology,15
did,Biology,4
heartbeats,Biology,4
introduction,Biology,1
studies,Biology,4
past,Biology,3
have,Biology,14
how,Biology,2
may,Biology,1
be,Biology,20
impacted,Biology,3
by,Biology,8
stature,Biology,2
gender,Biology,5
health,Biology,2
status,Biology,2
life,Biology,2
is,Biology,8
defined,Biology,1
maximum,Biology,4
amount,Biology,1
air,Biology,4
person,Biology,1
can,Biology,6
exhale,Biology,1
after,Biology,2
inspiration,Biology,1
seeley,Biology,4
et,Biology,9
al,Biology,10
2008,Biology,4
an,Biology,15
instrument,Biology,1
called,Biology,1
spirometer,Biology,2
first,Biology,2
invented,Biology,1
john,Biology,2
hutchinson,Biology,1
1800s,Biology,1
petty,Biology,3
2002,Biology,3
used,Biology,7
measure,Biology,2
live,Biology,1
which,Biology,7
now,Biology,1
known,Biology,1
increasedecrease,Biology,1
based,Biology,1
on,Biology,6
someones,Biology,1
sex,Biology,4
body,Biology,2
size,Biology,4
physical,Biology,1
activity,Biology,1
example,Biology,2
being,Biology,4
trained,Biology,2
sometimes,Biology,1
3040,Biology,1
above,Biology,2
those,Biology,2
are,Biology,3
factors,Biology,2
like,Biology,3
smoking,Biology,4
could,Biology,19
lower,Biology,2
more,Biology,3
specifically,Biology,1
than,Biology,6
stated,Biology,4
raise,Biology,1
individual,Biology,5
taller,Biology,2
larger,Biology,6
for,Biology,32
men,Biology,1
tend,Biology,2
women,Biology,1
males,Biology,9
greater,Biology,3
females,Biology,8
youssef,Biology,3
2015,Biology,4
only,Biology,3
affected,Biology,1
these,Biology,4
been,Biology,3
predict,Biology,3
parma,Biology,3
1995,Biology,2
knowing,Biology,1
ones,Biology,1
help,Biology,2
identify,Biology,1
patients,Biology,1
risk,Biology,1
many,Biology,2
different,Biology,1
diseases,Biology,2
some,Biology,1
include,Biology,1
chronic,Biology,1
obstructive,Biology,1
pulmonary,Biology,1
disease,Biology,2
copd,Biology,1
lung,Biology,4
cancer,Biology,1
attack,Biology,1
stroke,Biology,1
allcause,Biology,1
mortality,Biology,1
purpose,Biology,1
investigate,Biology,1
there,Biology,22
relationship,Biology,8
such,Biology,1
smokernonsmoker,Biology,1
athletenonathlete,Biology,1
pulse,Biology,6
rate,Biology,5
overall,Biology,13
collect,Biology,1
data,Biology,7
from,Biology,33
college,Biology,1
would,Biology,8
analyzed,Biology,1
affecting,Biology,1
hypothesis,Biology,8
tested,Biology,1
including,Biology,1
lifestyles,Biology,1
materials,Biology,1
methods,Biology,1
sections,Biology,1
l54,Biology,1
l56,Biology,1
03c,Biology,1
measured,Biology,2
l,Biology,50
all,Biology,5
participated,Biology,1
25,Biology,13
71,Biology,3
ages,Biology,6
ranging,Biology,6
17,Biology,8
34,Biology,16
years,Biology,7
old,Biology,6
each,Biology,6
student,Biology,6
recorded,Biology,2
hisher,Biology,1
triplicate,Biology,1
using,Biology,3
phipps,Biology,1
bird,Biology,1
9liter,Biology,1
wet,Biology,1
average,Biology,23
vcs,Biology,7
both,Biology,2
positions,Biology,1
measurements,Biology,1
radial,Biology,2
tape,Biology,1
meter,Biology,1
stick,Biology,1
ten,Biology,1
minutes,Biology,1
index,Biology,1
middle,Biology,1
fingers,Biology,1
one,Biology,1
hand,Biology,1
artery,Biology,1
arm,Biology,1
counting,Biology,1
number,Biology,2
fifteensecond,Biology,2
intervals,Biology,1
mychron,Biology,1
stopwatch,Biology,1
precisely,Biology,1
time,Biology,2
interval,Biology,1
then,Biology,1
multiplied,Biology,1
four,Biology,1
individuals,Biology,3
analysis,Biology,4
statistically,Biology,1
analyze,Biology,1
examined,Biology,1
results,Biology,4
female,Biology,7
24,Biology,14
variable,Biology,2
table,Biology,15
1,Biology,10
ranged,Biology,16
18,Biology,75
39,Biology,7
28,Biology,23
42,Biology,8
averaging,Biology,4
150,Biology,3
183,Biology,4
1649,Biology,2
low,Biology,1
67,Biology,3
high,Biology,1
127,Biology,3
875,Biology,3
bpm,Biology,6
504,Biology,3
100,Biology,5
765,Biology,2
2,Biology,17
nonsmokers,Biology,1
69,Biology,2
averages,Biology,4
27,Biology,13
nonathletes,Biology,2
46,Biology,1
38,Biology,7
fall,Biology,6
yrs,Biology,1
ht,Biology,4
vcst,Biology,4
vcsi,Biology,4
ch,Biology,4
cir,Biology,4
rpr,Biology,4
smoker,Biology,2
athlete,Biology,2
f,Biology,71
164,Biology,4
21,Biology,10
84,Biology,4
667,Biology,4
19,Biology,22
168,Biology,10
82,Biology,3
813,Biology,2
y,Biology,39
86,Biology,1
80,Biology,7
152,Biology,1
